"curso","matriz","semestre","codigo","nome","creditos","tipo","subgrupo","preRequisitos","turmas"
"G054","2023/01","4","GQI163","Físico-Química I","2","obrigatoria","","Minimo: GMM104","[{""id"": ""53A"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""11A"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""54A"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}], ""anp"": false}]"
"G054","2023/01","5","GQI164","Físico-Química II","2","obrigatoria","","Minimo: GQI163","[{""id"": ""53A"", ""horarios"": [{""dia"": 2, ""inicio"": 7, ""fim"": 9}], ""anp"": false}, {""id"": ""11A"", ""horarios"": [{""dia"": 2, ""inicio"": 7, ""fim"": 9}], ""anp"": false}, {""id"": ""54A"", ""horarios"": [{""dia"": 2, ""inicio"": 7, ""fim"": 9}], ""anp"": false}]"
"G054","2023/01","4","GQI170","Fundamentos de Química Analítica","2","obrigatoria","","Minimo: GQI144; Co-requisito: GQI171","[{""id"": ""2A"", ""horarios"": [{""dia"": 5, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""5A"", ""horarios"": [{""dia"": 2, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""11A"", ""horarios"": [{""dia"": 3, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""19A"", ""horarios"": [{""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""3A"", ""horarios"": [{""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""54A"", ""horarios"": [{""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""53A"", ""horarios"": [{""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""12A"", ""horarios"": [{""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}]"
"G054","2023/01","4","GQI171","Fundamentos de Química Analítica Experimental","2","obrigatoria","","Minimo: GQI144; Co-requisito: GQI170","[{""id"": ""11B"", ""horarios"": [{""dia"": 5, ""inicio"": 7, ""fim"": 9}], ""anp"": false}, {""id"": ""11A"", ""horarios"": [{""dia"": 4, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""19B"", ""horarios"": [{""dia"": 5, ""inicio"": 9, ""fim"": 11}], ""anp"": false}, {""id"": ""53A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""54A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""2B"", ""horarios"": [{""dia"": 4, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""2A"", ""horarios"": [{""dia"": 2, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""5A"", ""horarios"": [{""dia"": 4, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""19A"", ""horarios"": [{""dia"": 2, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""5B"", ""horarios"": [{""dia"": 4, ""inicio"": 15, ""fim"": 17}], ""anp"": false}]"
"G054","2023/01","Indefinido","GQM128","Impressão 3D","2","eletiva","","Minimo: GNE305","[]"
"G054","2023/01","Indefinido","GQM129","Introdução à Supercondutividade","2","eletiva","","Minimo: GFI129, GNE482","[]"
"G054","2023/01","Indefinido","GQM130","Aços e Ligas Especiais","3","eletiva","","Minimo: GNE358","[]"
"G054","2023/01","Indefinido","GQM131","Blendas e Aditivação de Polímeros","4","eletiva","","Minimo: GNE355","[]"
"G054","2023/01","Indefinido","GQM132","Reciclagem dos Materiais","4","eletiva","","Minimo: GNE355, GNE357, GNE358","[]"
"G054","2023/01","Indefinido","GQM133","Fundição","3","eletiva","","Minimo: GNE358","[]"
"G054","2023/01","Indefinido","GQM134","Ciência e Tecnologia de Vidros","4","eletiva","","Minimo: GNE357","[]"
"G054","2023/01","Indefinido","GQM135","Cerâmicas Refratárias: Estrutura, Propriedades e Processamento","4","eletiva","","Minimo: GNE357","[]"
"G054","2023/01","Indefinido","GQM136","Introdução a Operações Unitárias","3","eletiva","","Minimo: GEE105","[]"
"G054","2023/01","Indefinido","GQM137","Engenharia de Superfícies","3","eletiva","","Minimo: GNE366, GNE368; Co-requisito: GNE376","[]"
"G054","2023/01","Indefinido","GQM138","Conservação de Massa e Energia","4","eletiva","","Minimo: GMM156, GMM157, GMM158","[]"
